Index,Organization Id,Name,Industry,Number of employees,Founded
71,32BB9Ff4d939788,Duffy-Levy,Wireless,6146,1982
88,8cC1bDa330a5871,Pineda-Morton,Printing,6168,1991
79,A0B9d56e61070e3,"Beasley, Sims and Allison",Facilities Services,6182,1972
72,adcB0afbE58bAe3,Wagner LLC,International Affairs,6874,1987
60,aAeb29ad43886C6,Potter-Walsh,Human Resources / HR,6923,2008
17,68139b5C4De03B4,"Bowers, Guerra and Krause",Primary / Secondary Education,6986,1972
76,ec5Bdd3CBAfaB93,"Cole, Russell and Avery",Law Enforcement,7012,2000
83,c89b9b59BC4baa1,Eaton-Morales,Capital Markets / Hedge Fund / Private Equity,7013,1990
45,235fdEFE2cfDa5F,Brock-Blackwell,Online Publishing,7034,1986
57,2a74D6f3D3B268e,"Cherry, Le and Callahan",Entertainment / Movie Production,7202,2017
34,5Cd7efccCcba38f,Burch-Ewing,Venture Capital / VC,7443,1981
11,AE61b8Ffebbc476,Kidd Group,Primary / Secondary Education,7473,2001
89,ED889CB2FE9cbd3,Huang and Sons,Semiconductors,7484,1981
77,DDB19Be7eeB56B4,Cummings-Rojas,Financial Services,7529,2012
44,77aDc905434a49f,Prince PLC,Individual / Family Services,7645,2016
29,f9F7bBCAEeC360F,Ayala LLC,Legal Services,7664,2021
80,cBa7EFe5D05Adaf,Crawford-Rivera,Online Publishing,7805,1999
65,cBfe4dbAE1699da,"Erickson, Andrews and Bailey",Consumer Electronics,7829,2014
7,219233e8aFF1BC3,Hansen-Everett,Publishing Industry,7832,2018
5,9eE8A6a4Eb96C24,Mayer Group,Transportation,7870,1991
19,ba179F19F7925f5,Branch-Mann,Architecture / Planning,7961,1999
9,0B4F93aA06ED03e,Carr Inc,Plastics,8167,1996
93,dEbDAAeDfaed00A,Rowe and Sons,Facilities Services,8172,1978
58,Bf3F3f62c8aBC33,Cherry PLC,Plastics,8245,1980
81,Ea3f6D52Ec73563,Montes-Hensley,Printing,8433,2009
52,7dd18Fb7cB07b65,"Mcguire, Mcconnell and Olsen",Printing,8445,1988
75,f3C365f0c1A0623,Hicks LLC,Computer Software / Engineering,8480,1970
16,b5D10A14f7a8AfE,Hodge-Ayers,Facilities Services,8508,1990
59,aeBe26B80a7a23c,Melton-Nichols,Legislative Office,8741,2021
23,22aC3FFd64fD703,"Eaton, Reynolds and Vargas",Luxury Goods / Jewelry,8987,2014
12,eb3B7D06cCdD609,Crane-Clarke,Food / Beverages,9011,2014
41,decab0D5027CA6a,Arroyo Inc,Writing / Editing,9067,2006
50,c6DedA82A8aef7E,Gonzales Ltd,Consumer Goods,9069,1988
14,D2c91cc03CA394c,Glover-Pope,Medical Practice,9079,2013
62,EB9f456e8b7022a,Soto Group,Business Supplies / Equipment,9097,1988
64,055ffEfB2Dd95B0,Riley Ltd,Textiles,9315,1986
48,49aECbDaE6aBD53,"Wallace, Madden and Morris",Pharmaceuticals,9443,2016
10,738b5aDe6B1C6A5,Gaines Inc,Outsourcing / Offshoring,9698,1997
38,19E3a5Bf6dBDc4F,Cuevas-Moss,Music,9995,1994
